Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Botswana,BWA,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,1052372464,1164422524,1304293425,1491235214,1672399250,1820419936,2082545267,2325180129,2547090241,2673106784,2843041253,3081067624,3323772592,4147536298,4640587643,5163084155,5712056669,5920640884,6208045254,5932196869,6546735502,6694466972,7381064579,7696850354,8019637963,8106532110,8346766495,8248069326,8856336183,9003832004,9525557109,10528797436,11307036363,11503025660,10207872210,10946610856,12030258766,12278202987,12880954967,13783782093,13076842711,13229738112,13860573086,14373707118,16213518601,14778419043,16548297526,17451366797,17938553385
República Centroafricana,CAF,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2227321909,2347527348,2444247841,2568330295,1639605186,1642662144,1716880216,1800172156,1936849653,2068298382,2129704491,2114323628,2156535788,2139371201,
Canadá,CAN,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,4.28508E+11,4.48956E+11,4.76098E+11,5.16911E+11,5.48251E+11,5.56059E+11,5.84445E+11,5.96451E+11,6.11228E+11,6.40357E+11,6.5401E+11,6.66057E+11,6.3943E+11,6.60805E+11,6.95942E+11,7.27301E+11,7.34038E+11,7.72185E+11,8.09598E+11,8.30931E+11,8.26614E+11,8.08083E+11,8.1006E+11,8.29526E+11,8.63834E+11,8.96927E+11,9.17791E+11,9.55808E+11,9.75187E+11,1.03114E+12,1.11257E+12,1.1255E+12,1.1505E+12,1.1929E+12,1.25147E+12,1.30823E+12,1.35271E+12,1.39487E+12,1.42915E+12,1.34131E+12,1.40094E+12,1.46048E+12,1.48118E+12,1.52265E+12,1.55744E+12,1.53266E+12,1.54751E+12,1.61262E+12,1.65301E+12,1.68793E+12,1.59442E+12,1.74109E+12,1.82582E+12,1.80898E+12
Europa Central y del Báltico,CEB,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82849E+11,7.19134E+11,7.3434E+11,7.55528E+11,7.67103E+11,7.95381E+11,8.22039E+11,8.53066E+11,8.8201E+11,9.2536E+11,9.73826E+11,1.02648E+12,1.08582E+12,1.13787E+12,1.10424E+12,1.11036E+12,1.14221E+12,1.15252E+12,1.16587E+12,1.20552E+12,1.2504E+12,1.28743E+12,1.34988E+12,1.41471E+12,1.47336E+12,1.43453E+12,1.50842E+12,1.54984E+12,
Suiza,CHE,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88131E+11,4.90381E+11,5.05427E+11,5.24765E+11,5.38365E+11,5.60614E+11,5.55849E+11,5.54237E+11,5.78679E+11,5.89725E+11,6.14385E+11,6.32118E+11,6.13848E+11,5.85089E+11,6.25275E+11,6.7304E+11,6.56433E+11,6.7266E+11,6.77692E+11,6.79742E+11,7.01134E+11,6.94848E+11,6.92285E+11,6.95573E+11,7.04568E+11,6.76023E+11,7.34142E+11,7.59429E+11,
Islas del Canal,CHI,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,26326870248,27754806615,28855350583,30545664635,31300511696,31497560962,34875522985,35995376228,37291827221,38825090564,39763187464,43952630104,43733319657,41473061423,42316762549,36076907166,37630498693,41777638811,44843883668,48599665731,52473227148,55459651944,48003583414,45113217451,46512934070,47689569589,50933041498,55249006141,59294136120,65737156366,68772220853,74215012829,83197429320,89219493538,92800288485,1.01511E+11,1.09006E+11,1.17214E+11,1.22979E+11,1.21969E+11,1.27296E+11,1.31585E+11,1.35141E+11,1.39875E+11,1.45477E+11,1.52769E+11,1.55767E+11,1.65247E+11,1.76605E+11,1.76436E+11,1.86778E+11,1.93536E+11,2.13167E+11,2.22709E+11,2.26844E+11,2.36499E+11,2.39796E+11,2.40106E+11,2.49214E+11,2.51758E+11,2.2975E+11,2.56928E+11,2.65208E+11,2.64769E+11
China,CHN,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80546E+12,1.9872E+12,2.17672E+12,2.33725E+12,2.52295E+12,2.73976E+12,2.96139E+12,3.24417E+12,3.58319E+12,3.95866E+12,4.39027E+12,4.974E+12,5.70547E+12,6.28093E+12,6.81686E+12,7.5214E+12,8.19733E+12,8.90603E+12,9.54123E+12,1.03481E+13,1.10088E+13,1.17603E+13,1.26245E+13,1.34346E+13,1.42575E+13,1.45006E+13,1.57421E+13,1.61802E+13,1.70331E+13
Côte d'Ivoire,CIV,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22153650276,23259021123,24760960027,23513568799,25655736874,28029873102,41956255257,44807751703,48001971261,51224778972,53797231142,57412841208,57677483233,61676226654,65407665070,68890882965
Camerún,CMR,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,4408994648,4745999800,5098093528,5302184472,5597349183,5837464317,5812655807,6491590418,7381322227,6953099656,6980732429,9895151407,10790246864,9519347403,11896917342,13168045223,14168619327,15573907628,16891394599,18317187539,17931483583,16673155082,16174756828,14880024077,14043475498,13761099130,12714072886,12863624585,13215859834,13763124810,14350579779,15195755420,15934020551,16237320855,16832652233,17765394058,19125506690,20699070593,21074250743,22155398073,22916762317,23707960315,24575222406,25149638833,25991922987,27059167480,28301029210,29903599966,31773333682,33114037598,34221141967,35565057975,36688470234,36781979192,38215128981,39301025180,40831614570
"Congo, República Democrática del",COD,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18041209760,17782648107,19053646086,17888676904,17698310960,16353196443,16367518955,15531620464,16272760472,17310212847,18387016873,19262725492,20495741360,21621130656,22345287238,23558787325,25170552497,26578830798,28220417869,29341283204,32286592706,35126777862,38318031727,39250550642,41055313556,42016194831,44211021379,45969937281,48604951415,53579259200
"Congo, República del",COG,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,1242302397,1341178569,1414449884,1360532611,1412817027,1463962166,1482617487,1520580769,1632302128,1750357348,1854615999,2001682224,2185804115,2316908958,2517977444,2697083114,2709966870,2469395922,2615332230,2835721886,3263014701,3938061322,4788910254,4976825717,5463374283,5422331035,5374293935,5381524087,5052421569,5122225358,4965911088,5143136965,5411655758,5096237776,4950946201,4135435259,4288068417,4807609189,5408831134,4652205774,4485145728,5009198265,5248018875,5239106604,5153665368,5995014559,7253131058,6784894910,7341494007,8867135091,9546351213,9477243961,10980436542,11309109673,12560773633,12368954507,11019285939,9516990047,9886182196,9570943782,9877748489,9001655861,8981183511,9860947745
Colombia,COL,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,44013596833,46532398022,49224625763,52241893707,56222547768,60125005089,63946297109,64821078765,67920977389,71218655807,77396236394,81927205193,85531663506,86980989343,86792036672,87587300151,89611341412,91784633516,96764759318,1.01662E+11,1.06936E+11,1.09042E+11,1.15041E+11,1.17988E+11,1.23271E+11,1.31072E+11,1.4006E+11,1.47487E+11,1.49921E+11,1.5496E+11,1.56607E+11,1.50228E+11,1.53777E+11,1.55938E+11,1.59509E+11,1.64589E+11,1.7321E+11,1.83225E+11,1.9531E+11,2.07534E+11,2.13326E+11,2.16833E+11,2.25236E+11,2.38746E+11,2.49135E+11,2.62956E+11,2.76696E+11,2.89667E+11,2.96324E+11,2.98447E+11,3.03615E+11,3.14268E+11,2.95529E+11,3.25226E+11,3.46612E+11,3.53033E+11
Comoras,COM,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,397594019.1,412284274.3,439365128.8,457942674.8,476396864.6,486013186.4,495344788,504742049.6,516557639.7,505134946.7,528031713.2,499759021.1,547613386.8,561607148.7,530596879.7,550375008.8,542389069,564086340.6,570392315.9,582250140.7,645699046,661360969.6,674276347.8,687984320.6,700531319.7,721027285.4,740479526.9,749395975.6,776099317.1,801681664.7,832361806.6,866992685.3,893665412.9,935285435.4,958540596.9,971041229.3,1003579851,1041087659,1079748846,1098098488,1095812412,1117811608,1146742023,1177742540
Cabo Verde,CPV,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1488232095,1585122427,1561946919,1563466108,1632831579,1645386010,1667507064,1655551448,1690799360,1764848582,1848769435,1935110373,2074707207,1636353242,1767815839,2050835814,2165727527
